2017-02-15 21:03:13,251 - logger1 - INFO - read parameters successful
2017-02-15 21:03:13,298 - logger1 - INFO - create input_data_dict successful
2017-02-15 21:03:13,298 - logger1 - INFO - feature_pos_dict: defaultdict(<function GeneticAlgorithm.create_feature_pos_dict.<locals>.<lambda> at 0x000000EC9BAC8730>, {'9': {'name': 'percent_change_volume_over_last_wek', 'pos': [(15, 16), (16, 18), (18, 19), (19, 27), (27, 31)]}, '8': {'name': 'percent_change_price', 'pos': [(0, 1), (1, 3), (3, 4), (4, 8), (8, 15)]}, '15': {'name': 'percent_return_next_dividend', 'pos': [(41, 42), (42, 44), (44, 44), (44, 46), (46, 56)]}, '14': {'name': 'days_to_next_dividend', 'pos': [(31, 32), (32, 34), (34, 34), (34, 41), (41, 41)]}})
2017-02-15 21:03:13,298 - logger1 - DEBUG - ============get_classification_result START!!============
2017-02-15 21:03:13,298 - logger1 - DEBUG - chromosome_bits: [1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]
2017-02-15 21:03:13,298 - logger1 - DEBUG - solution name: 0
2017-02-15 21:03:13,298 - logger1 - DEBUG - date:2011-01-14, stock:XOM, feature_name:percent_change_volume_over_last_wek, data_feature_value:-26.89580899, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,329 - logger1 - DEBUG - date:2011-01-14, stock:DIS, feature_name:percent_return_next_dividend, data_feature_value:1.01807, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,329 - logger1 - DEBUG - date:2011-01-14, stock:DIS, feature_name:days_to_next_dividend, data_feature_value:329.0, solution_feature_value:75, is_satisfied:False
2017-02-15 21:03:13,329 - logger1 - DEBUG - date:2011-01-14, stock:TRV, feature_name:percent_change_volume_over_last_wek, data_feature_value:-25.93430373, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,329 - logger1 - DEBUG - date:2011-01-14, stock:TRV, feature_name:percent_change_price, data_feature_value:2.84262, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,329 - logger1 - DEBUG - date:2011-01-14, stock:TRV, feature_name:percent_return_next_dividend, data_feature_value:0.658979, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,329 - logger1 - DEBUG - date:2011-01-14, stock:TRV, feature_name:days_to_next_dividend, data_feature_value:53.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,329 - logger1 - DEBUG - date:2011-01-14, stock:CAT, feature_name:percent_change_volume_over_last_wek, data_feature_value:-18.3488805, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,329 - logger1 - DEBUG - date:2011-01-14, stock:CAT, feature_name:percent_change_price, data_feature_value:0.858277, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,345 - logger1 - DEBUG - date:2011-01-14, stock:CAT, feature_name:percent_return_next_dividend, data_feature_value:0.468035, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,345 - logger1 - DEBUG - date:2011-01-14, stock:CAT, feature_name:days_to_next_dividend, data_feature_value:4.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,345 - logger1 - DEBUG - date:2011-01-14, stock:T, feature_name:percent_change_volume_over_last_wek, data_feature_value:8.098365941, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,345 - logger1 - DEBUG - date:2011-01-14, stock:T, feature_name:percent_change_price, data_feature_value:-0.385424, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,345 - logger1 - DEBUG - date:2011-01-14, stock:T, feature_name:percent_return_next_dividend, data_feature_value:1.51249, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,345 - logger1 - DEBUG - date:2011-01-14, stock:T, feature_name:days_to_next_dividend, data_feature_value:23.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,345 - logger1 - DEBUG - date:2011-01-14, stock:KO, feature_name:percent_change_volume_over_last_wek, data_feature_value:-47.6644074, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,345 - logger1 - DEBUG - date:2011-01-14, stock:KO, feature_name:percent_change_price, data_feature_value:0.685805, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,345 - logger1 - DEBUG - date:2011-01-14, stock:KO, feature_name:percent_return_next_dividend, data_feature_value:0.744496, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,345 - logger1 - DEBUG - date:2011-01-14, stock:KO, feature_name:days_to_next_dividend, data_feature_value:56.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,345 - logger1 - DEBUG - date:2011-01-14, stock:IBM, feature_name:percent_change_volume_over_last_wek, data_feature_value:-34.72331978, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,345 - logger1 - DEBUG - date:2011-01-14, stock:IBM, feature_name:percent_change_price, data_feature_value:2.04082, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,360 - logger1 - DEBUG - date:2011-01-14, stock:IBM, feature_name:percent_return_next_dividend, data_feature_value:0.433333, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,360 - logger1 - DEBUG - date:2011-01-14, stock:IBM, feature_name:days_to_next_dividend, data_feature_value:25.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,360 - logger1 - DEBUG - date:2011-01-14, stock:MCD, feature_name:percent_change_volume_over_last_wek, data_feature_value:-47.42916382, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,360 - logger1 - DEBUG - date:2011-01-14, stock:MCD, feature_name:percent_change_price, data_feature_value:-0.255892, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,360 - logger1 - DEBUG - date:2011-01-14, stock:MCD, feature_name:percent_return_next_dividend, data_feature_value:0.823656, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,360 - logger1 - DEBUG - date:2011-01-14, stock:MCD, feature_name:days_to_next_dividend, data_feature_value:42.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,360 - logger1 - DEBUG - date:2011-01-14, stock:MRK, feature_name:percent_change_volume_over_last_wek, data_feature_value:48.65058696, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,360 - logger1 - DEBUG - date:2011-01-14, stock:MRK, feature_name:percent_change_price, data_feature_value:-8.13204, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,360 - logger1 - DEBUG - date:2011-01-14, stock:MRK, feature_name:percent_return_next_dividend, data_feature_value:1.11014, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,360 - logger1 - DEBUG - date:2011-01-14, stock:MRK, feature_name:days_to_next_dividend, data_feature_value:56.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,377 - logger1 - DEBUG - date:2011-01-14, stock:UTX, feature_name:percent_change_volume_over_last_wek, data_feature_value:-19.52621247, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,378 - logger1 - DEBUG - date:2011-01-14, stock:UTX, feature_name:percent_change_price, data_feature_value:1.03488, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,379 - logger1 - DEBUG - date:2011-01-14, stock:UTX, feature_name:percent_return_next_dividend, data_feature_value:0.543753, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,381 - logger1 - DEBUG - date:2011-01-14, stock:UTX, feature_name:days_to_next_dividend, data_feature_value:33.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,382 - logger1 - DEBUG - date:2011-01-14, stock:BAC, feature_name:percent_change_volume_over_last_wek, data_feature_value:-47.64583288, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,383 - logger1 - DEBUG - date:2011-01-14, stock:BAC, feature_name:percent_change_price, data_feature_value:7.62174, solution_feature_value:3.3, is_satisfied:False
2017-02-15 21:03:13,384 - logger1 - DEBUG - date:2011-01-14, stock:BAC, feature_name:percent_return_next_dividend, data_feature_value:0.0655738, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,385 - logger1 - DEBUG - date:2011-01-14, stock:BAC, feature_name:days_to_next_dividend, data_feature_value:47.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,387 - logger1 - DEBUG - date:2011-01-14, stock:GE, feature_name:percent_change_volume_over_last_wek, data_feature_value:-23.03090658, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,387 - logger1 - DEBUG - date:2011-01-14, stock:GE, feature_name:percent_change_price, data_feature_value:1.12843, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,387 - logger1 - DEBUG - date:2011-01-14, stock:GE, feature_name:percent_return_next_dividend, data_feature_value:0.74389, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,387 - logger1 - DEBUG - date:2011-01-14, stock:GE, feature_name:days_to_next_dividend, data_feature_value:31.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,387 - logger1 - DEBUG - date:2011-01-14, stock:JPM, feature_name:percent_change_volume_over_last_wek, data_feature_value:-38.32271009, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,387 - logger1 - DEBUG - date:2011-01-14, stock:JPM, feature_name:percent_change_price, data_feature_value:3.79015, solution_feature_value:3.3, is_satisfied:False
2017-02-15 21:03:13,387 - logger1 - DEBUG - date:2011-01-14, stock:JPM, feature_name:percent_return_next_dividend, data_feature_value:0.556669, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,387 - logger1 - DEBUG - date:2011-01-14, stock:JPM, feature_name:days_to_next_dividend, data_feature_value:80.0, solution_feature_value:75, is_satisfied:False
2017-02-15 21:03:13,387 - logger1 - DEBUG - date:2011-01-14, stock:MMM, feature_name:percent_change_volume_over_last_wek, data_feature_value:-28.33571092, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,387 - logger1 - DEBUG - date:2011-01-14, stock:MMM, feature_name:percent_change_price, data_feature_value:2.80047, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,387 - logger1 - DEBUG - date:2011-01-14, stock:MMM, feature_name:percent_return_next_dividend, data_feature_value:0.624291, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,387 - logger1 - DEBUG - date:2011-01-14, stock:MMM, feature_name:days_to_next_dividend, data_feature_value:33.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,387 - logger1 - DEBUG - date:2011-01-14, stock:HD, feature_name:percent_change_volume_over_last_wek, data_feature_value:-25.9088433, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,402 - logger1 - DEBUG - date:2011-01-14, stock:HD, feature_name:percent_change_price, data_feature_value:5.0644, solution_feature_value:3.3, is_satisfied:False
2017-02-15 21:03:13,402 - logger1 - DEBUG - date:2011-01-14, stock:HD, feature_name:percent_return_next_dividend, data_feature_value:0.696573, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,402 - logger1 - DEBUG - date:2011-01-14, stock:HD, feature_name:days_to_next_dividend, data_feature_value:53.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,402 - logger1 - DEBUG - date:2011-01-14, stock:KRFT, feature_name:percent_change_volume_over_last_wek, data_feature_value:-44.50944226, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,402 - logger1 - DEBUG - date:2011-01-14, stock:KRFT, feature_name:percent_change_price, data_feature_value:1.39114, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,402 - logger1 - DEBUG - date:2011-01-14, stock:KRFT, feature_name:percent_return_next_dividend, data_feature_value:0.925335, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,402 - logger1 - DEBUG - date:2011-01-14, stock:KRFT, feature_name:days_to_next_dividend, data_feature_value:74.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,402 - logger1 - DEBUG - date:2011-01-14, stock:AXP, feature_name:percent_change_volume_over_last_wek, data_feature_value:-42.54425775, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,402 - logger1 - DEBUG - date:2011-01-14, stock:AXP, feature_name:percent_change_price, data_feature_value:4.63801, solution_feature_value:3.3, is_satisfied:False
2017-02-15 21:03:13,402 - logger1 - DEBUG - date:2011-01-14, stock:AXP, feature_name:percent_return_next_dividend, data_feature_value:0.389189, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,402 - logger1 - DEBUG - date:2011-01-14, stock:AXP, feature_name:days_to_next_dividend, data_feature_value:82.0, solution_feature_value:75, is_satisfied:False
2017-02-15 21:03:13,402 - logger1 - DEBUG - date:2011-01-14, stock:PG, feature_name:percent_change_volume_over_last_wek, data_feature_value:-19.85897043, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,402 - logger1 - DEBUG - date:2011-01-14, stock:PG, feature_name:percent_change_price, data_feature_value:1.75466, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,418 - logger1 - DEBUG - date:2011-01-14, stock:PG, feature_name:percent_return_next_dividend, data_feature_value:0.732489, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,418 - logger1 - DEBUG - date:2011-01-14, stock:PG, feature_name:days_to_next_dividend, data_feature_value:5.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,418 - logger1 - DEBUG - date:2011-01-14, stock:AA, feature_name:percent_change_volume_over_last_wek, data_feature_value:1.380223028, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,418 - logger1 - DEBUG - date:2011-01-14, stock:AA, feature_name:percent_change_price, data_feature_value:-4.42849, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,418 - logger1 - DEBUG - date:2011-01-14, stock:AA, feature_name:percent_return_next_dividend, data_feature_value:0.187852, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,418 - logger1 - DEBUG - date:2011-01-14, stock:AA, feature_name:days_to_next_dividend, data_feature_value:19.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,418 - logger1 - DEBUG - date:2011-01-14, stock:DD, feature_name:percent_change_volume_over_last_wek, data_feature_value:24.90378736, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,418 - logger1 - DEBUG - date:2011-01-14, stock:DD, feature_name:percent_change_price, data_feature_value:3.10559, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,418 - logger1 - DEBUG - date:2011-01-14, stock:DD, feature_name:percent_return_next_dividend, data_feature_value:0.823293, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,418 - logger1 - DEBUG - date:2011-01-14, stock:DD, feature_name:days_to_next_dividend, data_feature_value:28.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,418 - logger1 - DEBUG - date:2011-01-14, stock:CVX, feature_name:percent_change_volume_over_last_wek, data_feature_value:-20.51894731, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,418 - logger1 - DEBUG - date:2011-01-14, stock:CVX, feature_name:percent_change_price, data_feature_value:2.06707, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,434 - logger1 - DEBUG - date:2011-01-14, stock:CVX, feature_name:percent_return_next_dividend, data_feature_value:0.775611, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,434 - logger1 - DEBUG - date:2011-01-14, stock:CVX, feature_name:days_to_next_dividend, data_feature_value:31.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,434 - logger1 - DEBUG - date:2011-01-14, stock:PFE, feature_name:percent_change_volume_over_last_wek, data_feature_value:-43.54784915, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,434 - logger1 - DEBUG - date:2011-01-14, stock:PFE, feature_name:percent_change_price, data_feature_value:0.658617, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,434 - logger1 - DEBUG - date:2011-01-14, stock:PFE, feature_name:percent_return_next_dividend, data_feature_value:1.09051, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,434 - logger1 - DEBUG - date:2011-01-14, stock:PFE, feature_name:days_to_next_dividend, data_feature_value:19.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,434 - logger1 - DEBUG - date:2011-01-14, stock:HPQ, feature_name:percent_change_volume_over_last_wek, data_feature_value:-34.54935299, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,434 - logger1 - DEBUG - date:2011-01-14, stock:HPQ, feature_name:percent_change_price, data_feature_value:3.09853, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,434 - logger1 - DEBUG - date:2011-01-14, stock:HPQ, feature_name:percent_return_next_dividend, data_feature_value:0.172973, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,434 - logger1 - DEBUG - date:2011-01-14, stock:HPQ, feature_name:days_to_next_dividend, data_feature_value:59.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,434 - logger1 - DEBUG - date:2011-01-14, stock:BA, feature_name:percent_change_volume_over_last_wek, data_feature_value:-48.05394212, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,434 - logger1 - DEBUG - date:2011-01-14, stock:BA, feature_name:percent_change_price, data_feature_value:0.93633, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,434 - logger1 - DEBUG - date:2011-01-14, stock:BA, feature_name:percent_return_next_dividend, data_feature_value:0.599401, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,449 - logger1 - DEBUG - date:2011-01-14, stock:BA, feature_name:days_to_next_dividend, data_feature_value:26.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,449 - logger1 - DEBUG - date:2011-01-14, stock:MSFT, feature_name:percent_change_volume_over_last_wek, data_feature_value:-30.74577985, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,449 - logger1 - DEBUG - date:2011-01-14, stock:MSFT, feature_name:percent_change_price, data_feature_value:0.35461, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,449 - logger1 - DEBUG - date:2011-01-14, stock:MSFT, feature_name:percent_return_next_dividend, data_feature_value:0.565371, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,449 - logger1 - DEBUG - date:2011-01-14, stock:MSFT, feature_name:days_to_next_dividend, data_feature_value:32.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,449 - logger1 - DEBUG - date:2011-01-14, stock:CSCO, feature_name:percent_change_volume_over_last_wek, data_feature_value:-49.03298835, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,449 - logger1 - DEBUG - date:2011-01-14, stock:CSCO, feature_name:percent_change_price, data_feature_value:1.2894, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,449 - logger1 - DEBUG - date:2011-01-14, stock:CSCO, feature_name:percent_return_next_dividend, data_feature_value:0.282885, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,449 - logger1 - DEBUG - date:2011-01-14, stock:CSCO, feature_name:days_to_next_dividend, data_feature_value:74.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,449 - logger1 - DEBUG - date:2011-01-14, stock:INTC, feature_name:percent_change_volume_over_last_wek, data_feature_value:-29.11892917, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,449 - logger1 - DEBUG - date:2011-01-14, stock:INTC, feature_name:percent_change_price, data_feature_value:1.78658, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,449 - logger1 - DEBUG - date:2011-01-14, stock:INTC, feature_name:percent_return_next_dividend, data_feature_value:0.85389, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,449 - logger1 - DEBUG - date:2011-01-14, stock:INTC, feature_name:days_to_next_dividend, data_feature_value:20.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,465 - logger1 - DEBUG - date:2011-03-25, stock:XOM, feature_name:percent_change_volume_over_last_wek, data_feature_value:-32.72403082, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,465 - logger1 - DEBUG - date:2011-03-25, stock:XOM, feature_name:percent_change_price, data_feature_value:2.13754, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,465 - logger1 - DEBUG - date:2011-03-25, stock:XOM, feature_name:percent_return_next_dividend, data_feature_value:0.562066, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,465 - logger1 - DEBUG - date:2011-03-25, stock:XOM, feature_name:days_to_next_dividend, data_feature_value:47.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,465 - logger1 - DEBUG - date:2011-03-25, stock:JNJ, feature_name:percent_change_volume_over_last_wek, data_feature_value:-33.77005294, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,465 - logger1 - DEBUG - date:2011-03-25, stock:JNJ, feature_name:percent_change_price, data_feature_value:0.528379, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,465 - logger1 - DEBUG - date:2011-03-25, stock:JNJ, feature_name:percent_return_next_dividend, data_feature_value:0.966429, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,465 - logger1 - DEBUG - date:2011-03-25, stock:JNJ, feature_name:days_to_next_dividend, data_feature_value:62.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,465 - logger1 - DEBUG - date:2011-03-25, stock:VZ, feature_name:percent_change_volume_over_last_wek, data_feature_value:-35.90758938, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,465 - logger1 - DEBUG - date:2011-03-25, stock:VZ, feature_name:percent_change_price, data_feature_value:1.71849, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,465 - logger1 - DEBUG - date:2011-03-25, stock:VZ, feature_name:percent_return_next_dividend, data_feature_value:1.31403, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,465 - logger1 - DEBUG - date:2011-03-25, stock:VZ, feature_name:days_to_next_dividend, data_feature_value:12.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,481 - logger1 - DEBUG - date:2011-03-25, stock:WMT, feature_name:percent_change_volume_over_last_wek, data_feature_value:-15.52734236, solution_feature_value:116.1, is_satisfied:False
2017-02-15 21:03:13,481 - logger1 - DEBUG - date:2011-03-25, stock:WMT, feature_name:percent_change_price, data_feature_value:1.19853, solution_feature_value:3.3, is_satisfied:True
2017-02-15 21:03:13,481 - logger1 - DEBUG - date:2011-03-25, stock:WMT, feature_name:percent_return_next_dividend, data_feature_value:0.706781, solution_feature_value:3.912, is_satisfied:True
2017-02-15 21:03:13,481 - logger1 - DEBUG - date:2011-03-25, stock:WMT, feature_name:days_to_next_dividend, data_feature_value:47.0, solution_feature_value:75, is_satisfied:True
2017-02-15 21:03:13,481 - logger1 - DEBUG - date:2011-03-25, stock:DIS, feature_name:percent_change_volume_over_last_wek, data_feature_value:-37.44794267, solution_feature_value:116.1, is_satisfied:False
